rental_id,r_date,r_month,r_year,customer_id,inventory_id,store_id,film_id,language_id,rental_duration,rental_rate,length,rating,special_features,category_id
10895,2005-08-02,08,2005,77,93,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
12268,2005-08-18,08,2005,39,93,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
3150,2005-06-20,06,2005,34,94,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
5072,2005-07-09,07,2005,254,94,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
9080,2005-07-30,07,2005,276,94,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
14603,2005-08-21,08,2005,26,94,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
588,2005-05-28,05,2005,89,95,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
2867,2005-06-20,06,2005,483,95,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
6030,2005-07-11,07,2005,36,95,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
7788,2005-07-28,07,2005,487,95,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
14310,2005-08-21,08,2005,177,95,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
10509,2005-08-01,08,2005,504,96,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
14349,2005-08-21,08,2005,119,96,1,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
1735,2005-06-16,06,2005,4,97,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
3474,2005-07-05,07,2005,594,97,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
9259,2005-07-30,07,2005,138,97,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
12786,2006-02-14,02,2006,512,97,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
2649,2005-06-19,06,2005,153,98,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
6651,2005-07-12,07,2005,447,98,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
8631,2005-07-29,07,2005,559,98,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
11727,2005-08-17,08,2005,6,98,2,19,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
207,2005-05-26,05,2005,47,102,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
1454,2005-06-15,06,2005,298,102,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
4115,2005-07-07,07,2005,371,102,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
10757,2005-08-01,08,2005,188,102,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
14908,2005-08-22,08,2005,349,102,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
135,2005-05-25,05,2005,304,103,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
2803,2005-06-19,06,2005,120,103,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
6793,2005-07-12,07,2005,148,103,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
9374,2005-07-30,07,2005,302,103,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
15643,2005-08-23,08,2005,298,103,1,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
4050,2005-07-07,07,2005,528,104,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
10871,2005-08-02,08,2005,75,104,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
12667,2005-08-18,08,2005,545,104,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
1940,2005-06-17,06,2005,451,105,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
6153,2005-07-11,07,2005,47,105,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
11257,2005-08-02,08,2005,468,105,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
12755,2005-08-18,08,2005,439,105,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
3732,2005-07-06,07,2005,318,106,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
9050,2005-07-30,07,2005,40,106,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
13428,2006-02-14,02,2006,44,106,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
7338,2005-07-27,07,2005,251,107,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
12917,2005-08-19,08,2005,152,107,2,21,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
1123,2005-05-31,05,2005,448,142,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
1189,2005-06-15,06,2005,244,142,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
5785,2005-07-10,07,2005,211,142,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
9706,2005-07-31,07,2005,508,142,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
13994,2005-08-20,08,2005,180,142,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
1134,2005-05-31,05,2005,191,143,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
2838,2005-06-19,06,2005,292,143,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
3881,2005-07-06,07,2005,456,143,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
7128,2005-07-27,07,2005,529,143,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
14123,2005-08-21,08,2005,66,143,1,29,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
3309,2005-06-21,06,2005,463,248,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
4710,2005-07-08,07,2005,590,248,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
10089,2005-07-31,07,2005,160,248,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
15689,2005-08-23,08,2005,259,248,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
300,2005-05-26,05,2005,47,249,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
2189,2005-06-18,06,2005,500,249,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
4982,2005-07-09,07,2005,162,249,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
9752,2005-07-31,07,2005,199,249,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
15022,2005-08-22,08,2005,506,249,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
7272,2005-07-27,07,2005,364,250,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
11666,2005-08-17,08,2005,531,250,1,56,1,6,2.99,129,G,"Trailers,Commentaries",1
1340,2005-06-15,06,2005,100,251,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
5426,2005-07-09,07,2005,438,251,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
11379,2005-08-02,08,2005,61,251,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
15964,2005-08-23,08,2005,141,251,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
5839,2005-07-10,07,2005,367,252,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
9858,2005-07-31,07,2005,128,252,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
13910,2005-08-20,08,2005,133,252,2,56,1,6,2.99,129,G,"Trailers,Commentaries",1
3946,2005-07-06,07,2005,13,294,1,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
8022,2005-07-28,07,2005,314,294,1,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
11743,2005-08-17,08,2005,336,294,1,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
6015,2005-07-11,07,2005,596,295,1,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
10050,2005-07-31,07,2005,230,295,1,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
11993,2005-08-17,08,2005,303,295,1,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
1527,2005-06-16,06,2005,188,296,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
6003,2005-07-11,07,2005,527,296,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
8802,2005-07-29,07,2005,407,296,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
12182,2005-08-18,08,2005,555,296,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
6097,2005-07-11,07,2005,416,297,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
10488,2005-08-01,08,2005,423,297,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
11744,2005-08-17,08,2005,26,297,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
4914,2005-07-08,07,2005,535,298,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
7574,2005-07-27,07,2005,200,298,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
12064,2006-02-14,02,2006,284,298,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
835,2005-05-29,05,2005,381,299,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
3330,2005-06-21,06,2005,294,299,2,67,1,5,2.99,77,PG-13,"Deleted Scenes",1
