film_id,n_rentals,n_different_customer,r_month,r_year,language_id,rental_duration,rental_rate,length,rating,special_features,category_id
19,1,1,05,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
19,4,4,06,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
19,8,8,07,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
19,7,7,08,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
19,1,1,02,2006,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1
21,2,2,05,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
21,3,3,06,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
21,8,8,07,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
21,8,8,08,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
21,1,1,02,2006,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1
29,2,2,05,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
29,2,2,06,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
29,4,4,07,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
29,2,2,08,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1
56,1,1,05,2005,1,6,2.99,129,G,"Trailers,Commentaries",1
56,3,3,06,2005,1,6,2.99,129,G,"Trailers,Commentaries",1
56,8,8,07,2005,1,6,2.99,129,G,"Trailers,Commentaries",1
56,6,6,08,2005,1,6,2.99,129,G,"Trailers,Commentaries",1
67,1,1,05,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1
67,2,2,06,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1
67,11,11,07,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1
67,6,6,08,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1
67,1,1,02,2006,1,5,2.99,77,PG-13,"Deleted Scenes",1
