film_id,n_rentals,n_different_customer,r_month,r_year,language_id,rental_duration,rental_rate,length,rating,special_features,category_id,rented_last_month
19,1,1,05,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
19,4,4,06,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
19,8,8,07,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
19,7,7,08,2005,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
19,1,1,02,2006,1,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
21,2,2,05,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
21,3,3,06,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
21,8,8,07,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
21,8,8,08,2005,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
21,1,1,02,2006,1,3,4.99,129,R,"Commentaries,Behind the Scenes",1,1
29,2,2,05,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
29,2,2,06,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
29,4,4,07,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
29,2,2,08,2005,1,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
56,1,1,05,2005,1,6,2.99,129,G,"Trailers,Commentaries",1,0
56,3,3,06,2005,1,6,2.99,129,G,"Trailers,Commentaries",1,0
56,8,8,07,2005,1,6,2.99,129,G,"Trailers,Commentaries",1,0
56,6,6,08,2005,1,6,2.99,129,G,"Trailers,Commentaries",1,0
67,1,1,05,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1,0
67,2,2,06,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1,0
67,11,11,07,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1,0
67,6,6,08,2005,1,5,2.99,77,PG-13,"Deleted Scenes",1,0
67,1,1,02,2006,1,5,2.99,77,PG-13,"Deleted Scenes",1,1
97,1,1,05,2005,1,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
97,1,1,06,2005,1,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
97,11,11,07,2005,1,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
97,6,6,08,2005,1,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
105,2,2,06,2005,1,6,0.99,125,NC-17,"Deleted Scenes",1,0
105,6,6,07,2005,1,6,0.99,125,NC-17,"Deleted Scenes",1,0
105,7,7,08,2005,1,6,0.99,125,NC-17,"Deleted Scenes",1,0
105,1,1,02,2006,1,6,0.99,125,NC-17,"Deleted Scenes",1,1
111,2,2,05,2005,1,3,0.99,52,NC-17,"Commentaries,Deleted Scenes",1,0
111,2,2,06,2005,1,3,0.99,52,NC-17,"Commentaries,Deleted Scenes",1,0
111,7,5,07,2005,1,3,0.99,52,NC-17,"Commentaries,Deleted Scenes",1,0
111,5,5,08,2005,1,3,0.99,52,NC-17,"Commentaries,Deleted Scenes",1,0
115,1,1,05,2005,1,5,2.99,167,R,"Behind the Scenes",1,0
115,2,2,06,2005,1,5,2.99,167,R,"Behind the Scenes",1,0
115,5,4,07,2005,1,5,2.99,167,R,"Behind the Scenes",1,0
115,11,11,08,2005,1,5,2.99,167,R,"Behind the Scenes",1,0
126,1,1,05,2005,1,3,4.99,179,G,Trailers,1,0
126,1,1,06,2005,1,3,4.99,179,G,Trailers,1,0
126,4,4,07,2005,1,3,4.99,179,G,Trailers,1,0
126,3,3,08,2005,1,3,4.99,179,G,Trailers,1,0
130,3,3,05,2005,1,7,0.99,110,PG-13,"Deleted Scenes,Behind the Scenes",1,0
130,4,4,06,2005,1,7,0.99,110,PG-13,"Deleted Scenes,Behind the Scenes",1,0
130,9,9,07,2005,1,7,0.99,110,PG-13,"Deleted Scenes,Behind the Scenes",1,0
130,8,8,08,2005,1,7,0.99,110,PG-13,"Deleted Scenes,Behind the Scenes",1,0
162,2,2,05,2005,1,4,2.99,95,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
162,4,4,06,2005,1,4,2.99,95,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
162,10,10,07,2005,1,4,2.99,95,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
162,9,9,08,2005,1,4,2.99,95,R,"Trailers,Deleted Scenes,Behind the Scenes",1,0
194,1,1,06,2005,1,6,0.99,104,PG,"Trailers,Commentaries,Behind the Scenes",1,0
194,7,7,07,2005,1,6,0.99,104,PG,"Trailers,Commentaries,Behind the Scenes",1,0
194,4,4,08,2005,1,6,0.99,104,PG,"Trailers,Commentaries,Behind the Scenes",1,0
205,1,1,05,2005,1,3,0.99,58,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
205,2,2,06,2005,1,3,0.99,58,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
205,4,4,07,2005,1,3,0.99,58,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",1,0
