r_month,r_year,rental_duration,rental_rate,length,rating,special_features,category_id,rented_last_month
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
05,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
02,2006,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,1
06,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
07,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
08,2005,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes",1,0
05,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
06,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
05,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
06,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
06,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
02,2006,3,4.99,129,R,"Commentaries,Behind the Scenes",1,1
07,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
08,2005,3,4.99,129,R,"Commentaries,Behind the Scenes",1,0
05,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
06,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
07,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
07,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
08,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
05,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
06,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
07,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
07,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
08,2005,5,2.99,168,NC-17,"Trailers,Commentaries,Deleted Scenes",1,0
06,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
08,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
05,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
06,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
08,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
08,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
06,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
08,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
08,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
08,2005,6,2.99,129,G,"Trailers,Commentaries",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
08,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
08,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
06,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
08,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
08,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
08,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
02,2006,5,2.99,77,PG-13,"Deleted Scenes",1,1
05,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
06,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
08,2005,5,2.99,77,PG-13,"Deleted Scenes",1,0
07,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
07,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
08,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
07,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
08,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
07,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
07,2005,7,0.99,56,G,"Trailers,Commentaries,Behind the Scenes",1,0
